1,1,add_logentry,Can add log entry
2,1,change_logentry,Can change log entry
3,1,delete_logentry,Can delete log entry
4,1,view_logentry,Can view log entry
5,2,add_permission,Can add permission
6,2,change_permission,Can change permission
7,2,delete_permission,Can delete permission
8,2,view_permission,Can view permission
9,3,add_group,Can add group
10,3,change_group,Can change group
11,3,delete_group,Can delete group
12,3,view_group,Can view group
13,4,add_contenttype,Can add content type
14,4,change_contenttype,Can change content type
15,4,delete_contenttype,Can delete content type
16,4,view_contenttype,Can view content type
17,5,add_session,Can add session
18,5,change_session,Can change session
19,5,delete_session,Can delete session
20,5,view_session,Can view session
21,6,add_user,Can add user
22,6,change_user,Can change user
23,6,delete_user,Can delete user
24,6,view_user,Can view user
25,7,add_bike,Can add bike
26,7,change_bike,Can change bike
27,7,delete_bike,Can delete bike
28,7,view_bike,Can view bike
29,8,add_category,Can add category
30,8,change_category,Can change category
31,8,delete_category,Can delete category
32,8,view_category,Can view category
33,9,add_reservation,Can add reservation
34,9,change_reservation,Can change reservation
35,9,delete_reservation,Can delete reservation
36,9,view_reservation,Can view reservation
37,10,add_comment,Can add comment
38,10,change_comment,Can change comment
39,10,delete_comment,Can delete comment
40,10,view_comment,Can view comment
41,11,add_complaint,Can add complaint
42,11,change_complaint,Can change complaint
43,11,delete_complaint,Can delete complaint
44,11,view_complaint,Can view complaint
